_id,place_id,name,html_notes
48,16,accessibility,"Mobility parking in main car park, 50 yards from reception
Additional mobility parking beyond the coach park, 50 yards from tea-room. Please note this is 150m from reception along a firm surface but uneven in places  
Majority of garden is accessible, there are some slopes and paths made of a non-gravel surface
Accessible toilets adjacent to reception
Mobility scooters can be borrowed by booking in advance on 01825 790231
Assistance dogs welcome across the whole property
Full access statement is below, but please note that some parts of this property may be closed on your visit."
49,18,general,"Dogs are welcome in the garden on a short lead
Dogs allowed in Petworth Deer Park under close control
Please note we have speed bumps in our car parks which may make it difficult for low body cars
Please keep away from the deer at all times and do not allow your dog to chase the deer as this will cause a welfare issue that may result in death
Dog bins are provided in the garden and at Park entrances
Drones are not permitted without prior approval
No BBQs or fires in Park or Pleasure Garden
Areas of deep open water in Park, close supervision strongly advised and no swimming please
Please note: fishing in Park without authorised permits is not allowed
No access to toilets or catering facilities if visiting the park or parking at North Car Park
North Car Park is usually busy at weekends and bank holidays, car park is small and is first come, first serve. If full, please come back another time. Do not park on grass verges"
50,18,family,"Picnics welcome anywhere in the Pleasure Garden and Park
There is limited wet-weather cover on site
Baby Change facilities available in the main car park toilet and in the Servants Qaurters"
51,18,accessibility,"Partly accessible grounds, some slopes and undulating terrain
Please wear sensible footwear if walking in the Deer Park
Benches are available in the garden; please be aware they are spread across the 50 acres.
Mobility parking available in main car park, please note it is a distance of approximately 700m to the house
A mobility vehicle is available for those who need assistance between the car park and the house courtyard
Access toilet available in the car park and Servants' Quarters toilets
The toilets in both the main car park and Servants' Quarters are open. Access to toilets across property requires admission
The majority of rooms open to visitors in Petworth House are on the ground floor
Braille and large print guides are available in the house"
52,19,general,"National Trust members can visit Housesteads Fort and Museum free of charge. Please ensure you bring your membership card with you. There is no longer a need to book in advance to visit.
In England, face coverings are required in indoor areas, except in cafés and tea-rooms, unless you're exempt.
Toilet facilities 
Tea, coffee and snacks are on offer at the visitor centre
Educational Group Bookings must be booked through the English Heritage website. National Trust Educational Group passes are not valid.
Parking is available
Car park is owned by Northumberland National Park
Car park is pay on exit. Charges: Up to three hours, £3, £2 per hour thereafter
For more information about parking visit https://www.northumberlandnationalpark.org.uk/visitor-info/facilities/car-parks/"
53,19,family,"Baby-changing facilities
Children's guide
Children's play area"
54,19,accessibility,"Carers and essential companions of disabled visitors enjoy free entry to all places on request. To make things easier, you can order an annual Admit One Card by calling 0344 800 1895 or e-mailing enquiries@nationaltrust.org.uk
Mobility parking available from National Trust Information Centre
Uneven Uneven steep paths and terrain on Hadrian's Wall, Housesteads Fort, Hadrian’s Way and Pennine Way
A cleared path is pA steep gravelled path is provided for the short walk from the visitor centre to the Wall and Fort"
55,22,general,"Limited parking spaces at Hendersick and Talland.
If car parks are full please come back another time. 
No overnight camping in any National Trust car parks. Please find a local campsite
Dogs must be kept on leads on Talland Bay beaches
Keep dogs under close control around livestock and other people. Let your dog off the lead if you feel threatened by livestock or horses
To help plan your visit check weather and tides before you start out"
56,22,family,
57,22,accessibility," Well maintained, but naturally uneven paths, with some steep steps
 Be aware of cliff edges and unstable cliffs - keep children supervised"
58,21,general,"The garden, woodland, shop and café are open. 
Toilets and baby changing facilities are available at the Old Dairy.
The Old Dairy Cafe is open serving a selection of drinks, hot meals, snacks, cakes and sandwiches to eat in or take away. The Sunroom Kiosk located in the courtyard by the house serves a selection of takeaway drinks, cakes, pre-packaged sandwiches and ice cream and is open daily, weather permitting.
Dogs on short leads welcome in the garden, except for the Terraced Garden. 
We are unable to accommodate bicycles, scooters or ball games within the garden. 
Please be aware there is a sheer drop from the sea wall along the Menai Strait near to the House. Please do not climb on this structure."
59,21,family,"Baby-changing facilities available in the Old Dairy toilets.
Adventure play area in Old Dairy Wood open.
Frisbee golf course is open. Bring your own Frisbee from home."
60,21,accessibility,"Adapted toilet in the Old Dairy near car park
Accessible path route but some steep gradients
We provide a buggy service between the visitor centre and the house. This is a volunteer run service and may not be available every day. Please check before visiting if you specifically require this service."
61,23,general,"Dogs welcome; please keep them on leads when livestock are grazing. Dog waste bins at Tunnel car park and Merritts Cottage 
Lovely places to enjoy a picnic and lots of benches, especially around the Isle of Wight pond
Bird hide at the Upper Eastern pond (max 5 people)
Good waymarked tracks for cycling and horse riding
Refreshments available at Ye Olde Windsor Castle, Little Bookham (non-National Trust) and Great Bookham village
There are no toilets at this site
Tunnel car park: Free to NT members or pay by mobile phone with paybyphone - area code 803447 (0330 060 4037) - £1.50 per hour for first 2 hours; £4 for up-to 4 hours; £6 for 5 hours and above
Mark Oak Gate: Free parking
Hundred Pound Bridge: Free parking"
62,23,family,"The main paths are suitable for pushchairs during the drier months
Natural play area (currently closed)
Family events throughout the year
Guided walks and talks by a ranger are available for school and community groups
Information boards located at the car parks"
63,23,accessibility,"Access for mobility vehicles and wheelchairs to the bird hide at the Upper Eastern pond
A well maintained extensive network of footpaths, but they can become waterlogged in winter
The bridlepaths are all-weather surfaced and mainly wide and level
There are benches scattered all over the Commons
Good access to the Commons from railway station"
64,24,general,"The car park, parkland, courtyard toilets and café are open. Car parking is free for members and £5 for non-members.
 The gardens and the woodland play area are open from 11am (last admission: 4pm) and free to members. Entry charges apply to non-members (in addition to car-parking) - please see the prices tab for more information.
The treasure house is open Wednesday - Sunday.
The café is open with indoor and outdoor seating available.
We welcome well-behaved dogs and their owners in the parkland only (not in the gardens or house) in accordance with on-lead and close control requirements. Visit www.nationaltrust.org.uk/nostell/features/visiting-nostell-with-your-dog
We're sorry but barbecues, metal detecting or drones are not permitted.
Cycling is permitted in the parkland.
Please note that the car park gate closes at 6pm."
65,24,family,"Buggy service available from the main carpark to the stables courtyard (600m).
Baby-changing facilities available in the stables courtyard toilets.
Woodland play area open from 11am (charges apply to non-members in addition to car-parking).
Bicycles and scooters welcome in the parkland but not in the gardens or woodland play area."
66,24,accessibility,"Mobility scooter rental available. Please book 48hrs before your visit by calling 01924 866744 or email nostell@nationaltrust.org.uk
Courtyard facilities (600m from the main carpark) include Changing Places, baby change and disabled toilets.
Buggy service available from the main carpark to the courtyard.
Blue badge parking is available nearer the courtyard facilities.
Bike rides and dog walks permitted in the parkland only - please respect our wildlife and other visitors by following our guidelines to trails and on-lead areas. Please note assistance dogs only are permitted inside the cafe, gardens, house and woodland play area.
Our full access statement is posted below, but please note some parts of the property may be closed on your visit."
67,26,general,"Dolmelynllyn - Picnic benches in woodland below car park
Opposite Ganllwyd village hall - car park. The toilets are closed until further notice
Cregennan - National Trust car park and interpretation board on site
Dinas Oleu - car park, public toilets and shop available (not National Trust)"
68,26,family,Cregennan - family trails
69,26,accessibility,"Dolmelynllyn - from car park in Ganllwyd village
Dolmelynllyn - uneven and steep path in places
Cregennan - from car park at Llynnau Cregennan
Cregennan - footpath around lake
Dinas Oleu - footpath from Barmouth town centre. Steep parts to path up to Dinas Oleu"
70,25,general,"On the Sedge Fen, our Boardwalk and Woodland Walk are open. Our Boardwalk and Roger Clarke hides are open, but please be considerate of others when in the hides.
The Summer Nature trail on Sedge Fen is now resting and will reopen in the summer.
All walks on Adventurers' Fen and the wider reserve are open, as are the hides. Please be considerate of others in the hides.
Parking - £3 non-members, free for members. 
The Docky Hut café is open with indoor and outdoor seating, as well as takeaway. 
The Visitor Centre and shop are open 10am - 5pm; dogs are welcome in the building. 
Dogs - No dogs other than assistance dogs on Sedge Fen. Dogs on leads welcome on walks in the wider reserve. Learn more about what you can do with your dog under 'Plan your visit'.
Toilets - open from 9am to 5pm daily.
Our cycle hire and boat trips are now open.
NB We may have to close access to the Boardwalk in icy conditions. "
71,25,family,"Baby-changing facilities in our toilets.
Pushchairs and baby back-carriers admitted.
The Boardwalk and Woodland Walk on Sedge Fen are suitable for pushchairs. The road from the car park to the wider reserve is accessible. The Lodes Way cycle path is suitable for pushchairs. "
72,25,accessibility,"Mobility parking - main car park.
Adapted toilets - car park and behind the cafe.
Grounds - level route from car park along cycle route to Burwell Lode, see property map for details.
 Sedge Fen - the Boardwalk and Woodland Walk routes are suitable for wheelchair users; 
Full access statement is below, but please note that some parts of this property may be closed on your visit."
73,27,general,"Car park near Whiteford (not NT)
Dogs welcome (on leads near livestock)
Small shop and tea-room in Llanmadoc (not NT)"
74,27,family,
75,27,accessibility,
76,29,general,"Places open include the house, gardens with heritage orchards and knot garden; farmyard, meadow and woodland including 3-storey tree hide. Second hand bookshop
Tea room and kiosk (depending on time and day of your visit) for hot and cold drinks, snacks, scones and cake. Card payment preferred
Free parking, 50 yards
Toilets - accessible toilet, baby changing
Dogs welcome on leads in the garden and grounds
Maps and hand sanitising available on arrival"
77,29,family,"Baby-changing facilities
3-storey treehide in King's Walk Woods
All children must be accompanied by an adult at all times
Space to run and explore in meadows, farmyard and woods
Changing seasonal outdoor trails"
78,29,accessibility,"Separate mobility parking on main car park
One adapted unisex toilet
Level access to gardens, toilet, and Cartshed kiosk
Drop-off point
Grounds have level access and no steep slopes. Paths a mix of gravel, stone, grass and earth, can be uneven and muddy in places"
79,31,general,"Dogs are welcome but must be on leads at all times
No public toilets at Lavington Common
Picnics are welcome on site and there is a picnic table near the car park
Two pubs in Graffham, <a href=""http://whitehorsegraffham.com/contact-us/>The White Horse</a> is the nearer, with the <a href=""http://forestersarmsgraffham.co.uk/contact/>Foresters Arms Inn</a> south of Graffham village (non NT)
Fires and barbecues are not permitted anywhere on site to help protect our countryside."
80,31,family," Enjoy easy and picturesque walking trails through heathland
The circular walk at Lavington Common is easy going and it's always fun to include a stroll through the depths of Merlin's wood
Fires and barbecues are not permitted anywhere on site to help protect our countryside."
81,31,accessibility,"The predominantly sandy paths, some of which north of the road are quite narrow, can become boggy or flooded in places during wetter months and may be unsuitable for wheelchairs."
82,28,general,"Visits by guided tour - please arrive at the start of your designated time slot to avoid missing the start of the tour. Visit will last approx 50 minutes.
Please go to What's On to book your visit.
Free visitor parking for up to 1 hour.
Please do not park on the side of George V Road or outside entrance gates, as it is a main thoroughfare for tanks and visibility needs to be maintained
Dogs on leads allowed in wider landscape. Assistance dogs only in the cottage."
83,28,family,
84,28,accessibility,"The cottage is accessed from the car park via a flat 90 yard footpath
Light levels in the cottage are low
Full access statement is below"
85,33,general,"Toilets are available onsite including accessible and baby-change facilities.
Face coverings are recommended in enclosed, crowded areas
You no longer need to book your visit. "
86,33,family,"Pushchairs and baby back-carriers admitted
Children's quiz/trail"
87,33,accessibility,"Mobility parking in main car park 50 metres from the barn
Adapted toilet next to barn
Braile guide
Sensory experience
Large print guide
Building - level entrance. Ground floor accessible
Grounds - mostly grass and hard surfaced car parking area"
88,30,general,"St David's shop is open. Please follow Welsh Government Regulations and visit responsibly. We look forward to welcoming you back.
For the safety of staff and visitors we've introduced social distancing measures and changes to payment, which will be via card only
In line with government guidance, you're required to wear a face covering in most enclosed spaces. Please bring one with you."
89,30,family,
90,30,accessibility,
91,32,general,
92,32,family,
93,32,accessibility,"No designated parking
No toilet facilities
Limited accessibility"
94,34,general,"Tarn Hows and Glen Mary car parks are open, advanced booking is not needed. Please follow social distancing measures.
Some toilet facilities at Tarn Hows are open.
Pay & Display car parking (non Members). Up to 2hrs - £5.00. 2 to 4hrs - £6.50. All Day - £7.50
Tramper mobility scooters are available to hire.
Tarn Hows is a designated Site of Special Scientific Interest, for this reason cycling, camping, fires, swimming, boating and fishing are not permitted. 
Dogs (on leads) are welcome.
Stay at Tarn Hows in Rose Cottage. Find out more at: http://www.nationaltrustholidays.org.uk/holiday-cottage/rose-castle-cottage-coniston-lake-district-cumbria/"
95,34,family,"There are several easy footpaths around Tarn Hows, which are ideal for families who are fans of the outdoors."
96,34,accessibility,"Tramper mobility scooters are available to hire.
Short stay viewing car park with great views of the Tarn. "
97,37,general,"Parkland, mansion, tearoom, bookshop and toilets open daily.  Natural play area is also open.
Children must be supervised at all times and dogs must be kept on leads. "
98,37,family, Natural play area open.
99,37,accessibility, Mobility scooter available to hire. Please contact us directly to book.
100,35,general,"Government guidelines around coronavirus are regularly reviewed at short notice. Please bear with us while we work through these changes, and how it might affect your visit.
Victoria Road car park and Lifeboat Road car park are open. Check our opening times for details before visiting. 
Toilets are available at Victoria Road and temporary Portaloos are in place at Lifeboat Road. Check opening times for details.
Well behaved dogs are welcome at Formby. Please keep dogs on a lead on Squirrel Walk and elsewhere on site please keep them under close control and pick up their waste. Please do not allow your dog to chase wildlife or disturb other visitors anywhere on site.
Information boards are located on Victoria Road, opposite the toilets, and at Lifeboat Road car park in bay 1.
There is a public bridlepath at Lifeboat Road and there is access to the beach for horses via the Lifeboat Road path only.
Vehicles taller than 2.3m cannot enter Lifeboat Road car park, and must instead park on the adjacent field.
The field at Lifeboat Road contains uneven surfaces and may become boggy in wet weather."
101,35,family,Pushchair accessible paths through some woodlands and along the asparagus trail. Easy pushchair access to the beach via the boardwalk at Lifeboat Road.
102,35,accessibility,"An accessible toilet is available at Lifeboat Road and Victoria Road, accessed via a radar key. Please see our opening times for details before visiting. Outside of these hours, all toilets are locked.
Mobility car park spaces can be found in woodland and beach car park at Victoria Road and at Lifeboat Road car park.
Braille and large print guides available.
Accessible paths in some woodlands and throughout the asparagus trail.
The beach can be accessed via a hard standing path and a boardwalk from Lifeboat Road car park. At Victoria Road the beach can only be accessed over the sand dunes via a steep, sandy path.
The field at Lifeboat Road contains uneven surfaces and may become boggy in wet weather.
Blue badge holders can park for free"
103,36,general,"Home-made cream teas and cakes served from Leith Hill Place (during opening hours)
BBQs are not permitted 
Parking is available via the PayByPhone App. It is advisable to download the app before  you leave home. Tariffs start at £1.50 for 1hr and extend to £6 for a full day.
Dogs welcome. Please keep on leads when livestock are grazing throughout the year and also in the fenced Duke’s Warren from 1 April to 31 July to help our ground nesting birds
Second-hand bookshop at Leith Hill Place (during opening hours)
Outdoor seating and picnic tables
Four circular waymarked nature trails
Hot and cold food sold from the tower kiosk (not NT)
Abundant wildlife, from butterflies and mini beasts to colourful wild flowers"
104,36,family,"Great open spaces for family enjoyment 
Garden games and activity sheets available on the lawn at Leith Hill Place
Stunning picnic spots
For families using buggies please check suitable car park in how to get here section. "
105,36,accessibility,"Grounds are partly accessible
Spiral staircase to the top of Leith Hill Tower
Benches dotted around the property at view points, near slopes and in picnic areas
Only the ground floor of Leith Hill Place is accessible steps to the first floor and cellar
Limited blue badge parking is available at the front of Leith Hill Place"
106,38,general,"Large car park at the bottom of the hill in paddock.
Drop off point at top of hill near house
Separate mobility parking (40 yards)
Toilet facilities available"
107,38,family,Children's quizzes available from the admission desk
108,38,accessibility,"Partly accessible, stone pathway to entrance, uneven ground. Accessible route"
109,39,general,"Explore over 40 miles of footpaths. The most popular routes are from Lynmouth to Watersmeet, and on to Rockford and Brendon
Toilets located at Watersmeet House tea-room are open when the tea-room is
Keep dogs on leads, particularly in spring on farmed land and on moorland. 
Please be aware that due to a mild year, there is increased risk of ticks on Exmoor
Picnic areas include Combe Park and north bank riverside area below Watersmeet/Chiselcombe bridge
Information to help with your visit at start of path from Lynmouth, near Pay & Display car park at Watersmeet. 
Free parking at Barna Barrow, Combe Park and Brendon
Pay & display parking, not National Trust (suitable for coaches) at Watersmeet and Lynmouth (cash only)"
110,39,family,"Baby-changing facilities open when the tea-room is
Path from Combe Park suitable for all terrain buggies"
111,39,accessibility,"Mobility parking by arrangement in advance with tea-room at Watersmeet House - 01598 753348
Drop off point 20 yards from the tea-room
Mobility toilet located at Watersmeet House open when the tea-room is
Partially accessible grounds. Well maintained, but naturally uneven gravel and grass coastal paths around Countisbury with some steep sections and lots of steps"
112,40,general,"Car park (National Trust) - route to car park is along some narrow lanes
The car park is free for National Trust members. There is a charge for members of £3. Pay and scan machine - please scan your membership card and display your ticket. Please note if you are paying, the machine only accepts coins. You can also PaybyPhone using the PaybyPhone app www.paybyphone.co.uk/parking
Dogs welcome on leads
Information point
Oceans Restaurant (not NT) is open every day from 10am for brunch, lunch and dinner (except Sundays open til 5pm), For more information call 01548 562467"
113,40,family,
114,40,accessibility,"Parking for blue badge holders
There is a levelled circular trail on Bolberry Down
Accessible for most wheelchair users and pushchairs"
115,42,general,"Our café is open daily 10am-5pm, serving a selection of drinks, cakes, light bites and sandwiches to sit in and take away.
Toilets are available in the Castle Courtyard and at Home Farm. 
Dogs are welcome on the estate on a lead. Assistance dogs only please in the formal gardens, Pleasure Ground Wood and Kitchen Garden. Dog waste bins are available in the car park and on the woodland walk.
We do not permit the flying of drones or unmanned aerial vehicles on the estate without permission, relevant insurance and qualifications.
Due to the numbers of old and veteran trees on site Chirk Castle has a high winds closure policy. If gusts of 45mph+ are forecast the site will close. If high winds are forecast please check before travelling to visit."
116,42,family,"Baby changing facilities are available at Home Farm, and at the castle.
Please note there is no access to the castle interior with pushchairs due to the number of stairs inside, and limited pushchair parking in an unstaffed area.
There are two hip seats and a Connecta newborn baby carrier (for babies under 10 weeks) available to borrow at the castle entrance.
Bikes and scooters are not permitted in the garden for health and safety reasons.
There are two play areas at Home Farm, near the Ticket Office"
117,42,accessibility,"Unfortunately there is no wheelchair or step free access to the castle interior
Carers can access Chirk Castle for free with an essential companions' card. The person they accompany will need a National Trust membership card or pay admission.
We welcome all registered assistance dogs. Assistance dogs are welcome in the gardens and inside the castle.
We have designated parking for blue badge holders; please ask a member of staff on entry.
The visitor shuttlebus is running from 10:30am to 4:45pm. This is a volunteer-run service and may not be available every day. Please check before visiting if you need this service.
Accessible toilets are available at Home Farm (RH-transfer) and in the castle courtyard (LH-transfer)
Three wheelchairs are available to borrow. Please contact us if you would like to reserve one.
We have one Tramper electric Powered Mobility Vehicle which visitors can borrow, and which is capable of exploring the gardens and estate. To reserve this please contact us.
If you have accessibility concerns or need a shorter/step-free route of the garden, please talk to a member of staff.
A Braille guide to the property is available from the castle entrance, please ask you or one of your party would like to use this.
Ear defenders, and fidget/sensory toys are available to borrow from the castle entrance. We also have some sunflower lanyards if you would like one.
A full access statement is available below."
118,43,general,"The parking is open from dawn till dusk. There is limited spaces, so if the parking is full please come back another time. Please do not park along the approach road as this blocks access and passing places. 
The toilets at Fingle Bridge are open from 01 April. The toilets are a basic facility with no hand washing facilities. There is hand sanitiser provided."
119,43,family,
120,43,accessibility,
121,45,general,"What is open: Parkland open daily. House, Visitor Centre, Tearoom, Second-hand bookshop open. Toilets open. Play area open.
During your visit: Please be respectful of social distancing when you visit. Children must be supervised at all times and dogs must be kept on leads. You'll be asked to wear a face covering in most enclosed spaces. Please bring one with you. Thank you for your support."
122,45,family,
123,45,accessibility,Mobility scooter available to hire. Please contact us directly to book.
